face_present,no_of_face,face_x,face_y,face_w,face_h,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_tip_x,nose_tip_y,mouth_x,mouth_y,face_conf,hand_count,left_hand_x,left_hand_y,right_hand_x,right_hand_y,hand_obj_interaction,head_pose,head_pitch,head_yaw,head_roll,phone_present,phone_loc_x,phone_loc_y,phone_conf,gaze_on_script,gaze_direction,gazePoint_x,gazePoint_y,pupil_left_x,pupil_left_y,pupil_right_x,pupil_right_y,label
1,1,276.3952255,314.1651249,145.042572,145.0427055,322.59655,351.7643452,385.3223801,347.9472828,361.4559174,376.2353611,361.3475418,410.8081341,86.682868,0,0,0,0,0,0,forward,0.018536228,0.014126732,-0.000537935,0,0,0,0,1,center,412,321,326,348,387,351,0
1,1,290.1946259,312.0983219,144.4548035,144.4548225,355.3009033,353.8031101,408.686676,347.3026657,402.6638031,378.2402802,396.3783646,410.3895092,78.7048161,0,0,0,0,0,0,forward,0.000429826,-0.022071302,-0.000365445,0,0,0,0,0,None,0,0,0,0,0,0,0
1,1,291.2337303,312.5405502,134.8593712,134.8593235,356.1223221,348.2740116,406.3850403,350.2038288,396.1521912,373.955698,385.4967117,403.5159588,78.03069353,0,0,0,0,0,0,forward,0.013890377,-0.027140083,-0.000277002,0,0,0,0,0,bottom_right,511,362,367,351,413,355,1
1,1,300.241375,310.8390141,128.9665794,128.9664459,358.882103,349.2478466,404.9657822,343.7310791,399.928093,371.2460804,393.9236069,399.3641281,78.07267904,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,1
1,1,297.2853661,307.0809174,130.6622505,130.6622601,355.2782059,343.3714771,402.755127,341.7144871,393.754158,368.0642796,387.1073532,396.6824627,82.61246085,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,1
1,1,297.1789551,310.2443218,137.3283005,137.3283005,359.3517685,348.3551788,408.7275314,343.4187412,403.3201218,370.1086521,397.4493408,401.534071,80.05598783,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,1
1,1,296.3700104,315.5588436,140.0591278,140.0592613,356.0777283,353.7991619,411.4297104,349.6243572,401.7966461,377.2247028,396.5491867,409.4598484,82.39338994,0,0,0,0,0,0,forward,0.011993868,-0.01618171,-0.000407657,0,0,0,0,0,None,0,0,0,0,0,0,0
1,1,300.3887367,309.4656086,142.0033073,142.0033836,369.4359589,350.1808834,417.82444,345.5910873,415.927887,374.2269802,407.5431824,405.3173733,79.26616073,0,0,0,0,0,0,right,0.018391259,-0.029342745,-0.000134412,0,0,0,0,0,None,0,0,0,0,0,0,1
1,1,293.0886269,309.8513031,141.8981361,141.8980694,360.2925491,346.9262695,413.4255981,349.0350437,402.9499054,374.3672562,392.2777939,406.0231304,78.95205021,0,0,0,0,0,0,right,0.018139314,-0.028095954,-8.21E-05,0,0,0,0,0,None,0,0,0,0,0,0,1
1,1,295.5983162,312.3387623,142.1149635,142.1149635,362.5725555,349.4126129,415.4402924,347.9430771,408.0512238,372.4231625,399.6097183,405.1097202,80.78121543,0,0,0,0,0,0,right,0.023244248,-0.030974666,1.78E-05,0,0,0,0,0,bottom_right,532,355,376,351,426,354,1
1,1,299.684391,317.2700787,144.6676826,144.6677971,364.8884201,354.3397808,421.2081528,352.9082966,411.2424088,379.203186,403.4453964,413.0540371,82.08346963,0,0,0,0,0,0,forward,0.007286402,-0.019509734,-0.000197954,0,0,0,0,0,bottom_right,530,387,376,357,428,359,1
